    == Status ==
Current time: 2022-11-19 21:24:59 (running for 03:24:08.25)
Memory usage on this node: 9.3/15.4 GiB 
Using AsyncHyperBand: num_stopped=323
Bracket: Iter 32.000: -0.9614356261372566 | Iter 16.000: -1.0854247627735139 | Iter 8.000: -1.2630366757392884 | Iter 4.000: -1.4273403955459594 | Iter 2.000: -1.5695729044914244 | Iter 1.000: -1.739674667930603
Resources requested: 0/20 CPUs, 0/1 GPUs, 0.0/7.33 GiB heap, 0.0/3.66 GiB objects (0.0/1.0 accelerator_type:G)
Result logdir: /home/braian/ray_results/train_cifar_2022-11-19_18-00-51
Number of trials: 324/324 (1 ERROR, 323 TERMINATED)
+-------------------------+------------+-----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------+
| Trial name              | status     | loc                   |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |     loss |   accuracy |   training_iteration |
| train_cifar_40296_00070 | TERMINATED | 192.168.0.187:405855  |           16 |          0.0001 |                   12 |                      2 |                   28 |                      2 |       140 |       124 | 1.31074  |     0.5281 |                    8 |
| train_cifar_40296_00071 | TERMINATED | 192.168.0.187:406347  |           16 |          0.0001 |                   18 |                      2 |                   28 |                      2 |       140 |       124 | 1.05296  |     0.6732 |                   50 |
| train_cifar_40296_00072 | TERMINATED | 192.168.0.187:412220  |           16 |          0.0001 |                    6 |                      2 |                   16 |                      2 |       160 |       124 | 1.78507  |     0.3471 |                    1 |
| train_cifar_40296_00073 | TERMINATED | 192.168.0.187:414881  |           16 |          0.0001 |                   12 |                      2 |                   16 |                      2 |       160 |       124 | 1.45581  |     0.4735 |                    4 |
| train_cifar_40296_00074 | TERMINATED | 192.168.0.187:419742  |           16 |          0.0001 |                   18 |                      2 |                   16 |                      2 |       160 |       124 | 1.4629   |     0.4632 |                    4 |
| train_cifar_40296_00075 | TERMINATED | 192.168.0.187:424880  |           16 |          0.0001 |                    6 |                      2 |                   22 |                      2 |       160 |       124 | 1.76555  |     0.3638 |                    1 |
| train_cifar_40296_00076 | TERMINATED | 192.168.0.187:427391  |           16 |          0.0001 |                   12 |                      2 |                   22 |                      2 |       160 |       124 | 1.59193  |     0.4212 |                    2 |
| train_cifar_40296_00077 | TERMINATED | 192.168.0.187:430609  |           16 |          0.0001 |                   18 |                      2 |                   22 |                      2 |       160 |       124 | 1.12995  |     0.6035 |                   16 |
| train_cifar_40296_00078 | TERMINATED | 192.168.0.187:436266  |           16 |          0.0001 |                    6 |                      2 |                   28 |                      2 |       160 |       124 | 1.79154  |     0.3521 |                    1 |
| train_cifar_40296_00079 | TERMINATED | 192.168.0.187:438946  |           16 |          0.0001 |                   12 |                      2 |                   28 |                      2 |       160 |       124 | 1.0256   |     0.666  |                   50 |
